,index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_txt,age,python,R,Spark,AWS,Excel,SQL,machine_learning,AI,Seniority,Title
298,298,Data Analyst,$41K-$78K (Glassdoor est.),"Youngsoft is one of the fastest growing companies based out of Wixom Michigan providing IT services to various clients across the USA. currently we have a "" Data Analyst "" position at one of our client locations As a Data Analyst, You Will Collect and study data to reveal ways to improve a business, organization, or government entity or databases and the data entered into those databases. The data can involve almost any topic including claims, members, providers, customers, marketing, sales Manage master data, including creation, updates, and deletion Manage and design the reporting environment, including data sources, security, and metadata Perform initial triage and full incident life cycle monitoring in support of Tenant Plans Work with various members of the TOS team to provide Tier 1 technical support to tenant plans. Tier 1 support involves the initial triaging of reported incidents with the applications with a focus on data collection and prior incident pattern analysis Work closely with Plan Consultants to ensure smooth communication and prompt follow-up on logged incidents with the applications Provide some basic technical support for tenant plans, running queries, and making recommendations on changes to the tenant plans interfaces to improve the overall customer experience Create and run performance monitoring reports for end customers including SLA tracking reports Accountable for specific deliverables as defined by the Plan Consultants, and client TOS leadership Document incident resolutions, escalations, and closures within the client Incident tracking tool Document system monitoring design, implementation, as well as SOPrsquos for various support teams in TOS Assist project managers, development managers, and plan consultants to define the scope and requirements for tenantrsquos interface monitoring, and communication protocols. To Be Successful, You Need Bachelorrsquos degree in computer science, mathematics, or related field preferred (or equivalent experience) 3-5 yearsrsquo experience with databases and optimizing output Excellent problem-solving capabilities as well as a strong understanding of mathematical techniques for working with technical system data To be able to manage master data files, including creating updates and deletions, as necessary To be able to manage and design reporting environments, including data sources, security, and metadata Object oriented analysis and design patternstechniques with emphasis on problem solving Experience with Oracle RDBMS or another RDBMS. Please contact recruiter at 248-675-1196Please respond with your updated resume, contact information",3.5,"Youngsoft
3.5","Washington, DC","Wixom, MI",51 to 200 employees,1996,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,41,78,59.5,Youngsoft,24,0,0,0,0,1,0,0,0,na,data analyst
299,299,Data Analyst,$41K-$78K (Glassdoor est.),"Atlas Research is seeking a Data Analyst to help support our public-sector management consulting firm serving federal health and social services agencies.

The selected individual will be an integral part of a multi-organizational team tasked with supporting healthcare transformation within a government agency. Innovative support will be necessary across several areas, including: Program and Project Management and Integration, Improvement and Change Management, Data and Analyses, Training, Strategic Communications and Implementation, Supply Chain, Financial Management Modernization, and Policy Support.

Essential Duties and Responsibilities

We are seeking a Data Analyst to obtain data through advanced computerized models; extrapolating data patterns through advanced algorithms; developing simple graphs and charts to explain how the mathematical information will influence the specific project or business; and presenting to managers how to best alter their business models to generate profitable future trends.

Minimum Qualifications
Bachelors degree from an accredited institution
3 years relevant experience
Excellent written and oral communications
Proficiency with MS Office
Ability to work in the US indefinitely without sponsorship
Ability to obtain a US security clearance if needed
Preferred Qualifications
Relevant professional certifications a plus
Experience with VA information systems and databases and the ability to utilize Pyramid analytics and/or Tableau
Powered by JazzHR",3.0,"Atlas Research
3.0","Washington, DC","Washington, DC",201 to 500 employees,2008,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,41,78,59.5,Atlas Research,12,0,0,0,0,1,0,0,0,na,data analyst
300,300,Data Analyst,$38K-$110K (Glassdoor est.),"About Digital Harbor Digital Harbor Inc. (DHI) is a rapidly growing software company with proven risk and compliance management offerings. We specialize in providing innovative solutions for government run health insurance programs, creating systems that manage the complex processes associated with provider networks, claims, and beneficiaries. In the past, we have successfully delivered similarly innovative solutions for the banking and defense sectors in the United States. Our marquee ldquoKnow Your Providerrdquo (KYP) solution is helping to make provider enrollment, screening, and monitoring processes paperless for managed care organizations in the US at both the Federal and State level. The solution delivers full compliance with stringent regulatory requirements of the US Affordable Care Act, improves efficiency and transparency of enrollment operations, and minimizes the risks arising from fraudulent providers. These systems are further augmented by Digital Harborrsquos unique and robust case management and predictive analytics platform, giving our clients a powerful way of viewing and managing their data. We continue to invest in building our expertise and position as we relentlessly go after the 100 billion per annum healthcare opportunity in US. Our vision for the future is to build similar risk and compliance management solutions for other markets like consumer insurance, banking, retail, and life sciences, leveraging the collective learning and experiences we have gained working with US Federal and State healthcare institutions. The Digital Harbor team is a unique combination of sharp techies, agile business executives and a smart management group with the kind of vision and market experience needed to navigate a constantly evolving world. Our employees are our core strength and we deeply value their contributions. We strive to create a stable and positive work culture to enable our employees to utilize their potential completely, and grow strength to strength along with the company. While zeroing in on new business, exploring new ideas, and developing innovative technologies is vital to Digital Harbor, the health and happiness of our employees is just as vital. Job Description Position Data Analyst Purpose This position supports, manages, and organizes electronic data received from customers and then processed by internal systems in support of our healthcare solutions. Department Data Analytics Job Location Telecommute - Virtual - Remote (USA Only) Job Profile Essential Functions Work with customers to validate electronic data interchange requirements. You will interact with existing customers who have established processes with us, and with new customers beginning to implement our product solutions. You will also work with customers to run various reports as needed. You will be responsible for helping to deploy and maintain software systems to be used by our customers including databases, web servers, and document management systems. You will also coordinate with development teams to validate product improvements before those are placed into production. Required Qualifications Strong experience with database analysis and data analytics. Strong experience with a database system such as MS SQL or Oracle. Strong experience in creating, analyzing, and executing SQL scripts, triggers, stored procedures, and views. You also understand industry best practices for security and efficiency with respect to the database system. Strong desire to become a master of the companyrsquos healthcare solutions. Ability to research data issues Experience with configuring databases to support various activities related to the system. Understand database backup and database restoration processes. A strong ability to communicate effectively with customers. Helpful Qualifications A working knowledge of web application servers A working knowledge of Java, XML, HTML A working knowledge of network technology A working knowledge of document management systems Experience with Microsoft Server Required Experience and Education A degree in Computer Science or Information Technology 2+ years of related work experience",3.4,"Digital Harbor
3.4","Salt Lake City, UT","Reston, VA",51 to 200 employees,1997,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1,38,110,74.0,Digital Harbor,23,0,0,0,0,0,0,0,0,na,data analyst
301,301,Workday Technical Analyst- Data Conversions,$38K-$110K (Glassdoor est.),"The University of Southern California (USC) has established a Workday Financials deployment program covering our academic enterprise as well as our hospitals. This program is critical to USC's overall goals to improve administrative efficiency. Workday Financials will be paired with the existing Workday HR and Payroll solutions implemented in 2013.We are currently seeking two Workday Technical Analysts - Data Conversions (Programmer Analyst III) to join our Workday Financials deployment program team. The Technical Analysts will be responsible for converting the data from legacy Financial applications to Workday. They will need to use their technical aptitude to convert and map data sources into data conversion templates to be loaded into Workday. The successful candidates will need to perform data extract, data cleansing, mapping of data, transformations of data as well as loading data to Workday though ETL scripts. In addition, they will need to lead the validation of data loaded into Workday. Regularly engage and support the business through all phases of the project, ensuring a smooth transfer of data from legacy systems to the Workday Financials solution. Finally, the Technical Analysts will need to perform multiple tasks under limited direction, while regularly keeping the client, the project team abreast of changes or progress related to the projectThe ideal candidate must possess 3 years of experience with Workday or any ERP data conversion. Experience with data conversions, data mining and data loading are required as is experience with some ETL tools. Experience with Workday ERP and Workday Financials deployment are strongly preferred.ITS is committed to providing information technology services and support to the university. ITS provides essential, university-wide services such as:* Enterprise information systems* University wired and wireless networks* Educational Technology* Research Computing* IT SecurityThere are two vacancies for this role.These are a fixed-term position with an anticipated end date of December 31, 2021. Please note that these are full-time role eligible for benefits, including medical, dental, and vision plans.What You'll Do:* Responsible for converting the data from legacy Financial applications to Workday* Perform data extract, data cleansing, mapping of data, transformations of data as well as loading data to Workday though ETL scripts* Lead the data validation exercise of data loaded into Workday by regularly engaging and supporting the business through all phases of the project, ensuring a smooth transfer of data from legacy systems to the Workday Financials solution* Track issues and risks communicate status and escalate concerns to project management* Design, code, test, debug, install, documents and maintain moderately complex software applications.* Interact with users to determine their software application objectives, scope and requirements.* Produce the required analysis and application design, either individually or by actively participating in development process. Produce design specification documents* Translate design specifications into programming languages* Develop test data and routines required to test and revise application(s).Ensures application(s) is thoroughly tested before release. Write reports of test results.* Detect, define and debug programs whenever problems are reported or encountered* Perform other duties as assigned or requested. The university reserves the right to add or change duties at any timeThe Must Haves:* Bachelor's degree in business administration, organization development, communication or related discipline* 3 years of experience with data conversions, data mining and data loading* Experience with Workday or any ERP data conversion* Experience with some ETL tools* Sound knowledge of programming and documentation procedures, programming methods, program flow charts and operator instructions* Exceptional written and verbal communication capabilities; able to communicate effectively with diverse people and individuals at various levels within the organization* Willingness to take charge and the ability to simplify a complex problem* Ability to manage multiple initiatives at a time and operate in a group or confidence to lead that group through a challenge and to a solution* Superior detail orientation, organization, and analytical skills* Ability to operate effectively in a dynamic environment with minimal supervisionThe Nice to Haves:* Bachelor's Degree in Management Information Systems, Industrial Engineering, Computer Science or other engineering discipline* 3-5 years or Workday or any ERP data conversion experience* Experience with Workday Financials deployment* Experience within the Higher Education and/or Health Care industryBenefits:USC benefits include a choice of retirement programs, 12 paid vacation days per year, 12 paid sick days per year, university holidays, a choice of medical and dental plans, and discounts to football games, basketball games, and other campus events.Minimum Education: Bachelor's degree, Combined work experience and education as equivalentMinimum Experience: 3 years, Combined education/experience as substitute for minimum experienceMinimum Field of Expertise: Sound knowledge of programming and documentation procedures, programming methods, program flow charts and operator instructions. Knowledge of one or more appropriate computer languages. Competent to work independently on complex programming activities.USC is an equal opportunity, affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other characteristic protected by law or USC policy. USC will consider for employment all qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring ordinance. We provide reasonable accommodations to applicants and employees with disabilities. Applicants with questions about access or requiring a reasonable accommodation for any part of the application or hiring process should contact USC Human Resources by phone at (213) 821-8100, or by email at uschr@usc.edu. Inquiries will be treated as confidential to the extent permitted by law.Read USC's Clery Act Annual Security ReportRequired Legal NoticesCertain positions are subject to background screeningIf you are a current USC employee, please apply to this USC job posting in Workday by copying and pasting this link into your browser:https://wd5.myworkday.com/usc/d/inst/1$9925/9925$33454.htmld",4.2,"University of Southern California
4.2","Los Angeles, CA","Los Angeles, CA",10000+ employees,1880,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1,38,110,74.0,University of Southern California,140,0,0,0,0,0,0,0,0,na,data analyst
302,302,Data Analyst,$38K-$110K (Glassdoor est.),"Job Description
The Role
Come help our customers learn more about the world. Below is a small sample of the questions we’ve asked of our data over the last year.
Did Lyft’s prospects improve in politically progressive areas in the aftermath of Uber’s press woes?
Is Amazon’s revenue growth in the fourth quarter primarily driven by customers in rural areas?
How did the path of the solar eclipse affect hotel bookings across the United States?

As part of the client-focused function on the data team, you will be responsible for helping industry-leading companies understand how purchase and travel behavior is changing in America. You will become an expert in our dataset and answers questions from prospects, customers, and internal stakeholders to help extract value from our data.

You
You creatively work through problems with statistically sound thinking and have the natural itch to follow obstacles to their root cause. You think deeply about the problems ahead and are comfortable moving between tools in your toolbelt. And you are quick to learn, implementing new approaches when facing questions that demand it. You are a stickler for quality and pay careful attention to the details that matter.

You are a gifted communicator and are passionate about helping others make sense of data. You are comfortable juggling multiple projects at one time and relish the opportunity to empower leaders in finance, technology, and consumer goods with data to shape their long term strategy.

Requirements
1+ years of SQL experience
Ability to communicate findings to non-experts
Desire to learn data modeling technologies (python, spark) and build on statistical knowledge
Bachelors in social science (Economics, Sociology, ...), related discipline or equivalent experience
Excited by a high learning curve
Excellent written and oral communicator

Compensation and Benefits
Highly competitive salary and benefits
Stock grants pre-IPO at a company backed by top investors
Take unlimited, responsible vacation

About Us
Edison provides intelligent email solutions for users and competitive intelligence for businesses. The largest, most valuable and as yet untapped data on earth is in mail; 3x larger than the worldwide web. Through our user base of more than 3 million users, we empower investors, brands, and technology companies to understand trends in the marketplace and gain deep insights into consumer behavior patterns.

As a team, we’re collaborative, engaged, and committed to continually improving as we serve our mission. None of us are on an island-- we trust our teammates to lend a hand when we’re stuck and our egos take a backseat to figuring out the best approach to tackling problems. We’re energized by tough problems and are excited to know that a challenge ahead of us does not have a textbook solution. Finally, we’re always in a posture of learning-- there is a lot we do not know but that does not hold us back from making an attempt at solutions. We lead thorough blameless postmortems to become better analysts, scientists, and leaders.",5.0,"Edison Software, Inc.
5.0","Denver, CO","San Jose, CA",51 to 200 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,38,110,74.0,"Edison Software, Inc.",-1,1,0,1,0,1,0,0,0,na,data analyst
303,303,Business Data Analyst (Entry Level),$38K-$110K (Glassdoor est.),"Job Description
We are seeking an entry-level Business Data Analyst to work at our federal customer site in Lakewood, CO and to join our collaborative, innovative, customer-centric culture. If you have basic knowledge in technical fields including but not limited to finance, accounting, information technology, research and analysis, or other program support fields - then please read on!

Specific tasks include but are not limited to the following
Works in support of the general management and business operation of a particular program, department, or office.
Provides analysis and research for specific projects.
Supports managers and a variety of tasks and projects to meet deadlines.
Continuously exercises discretion and independent judgment on the analysis, planning, and/or implementation of important program initiatives.
Your Experience
Must be a U.S. Citizen
Associate’s Degree or equivalent experience. Equivalent experience includes:
4+ years’ experience supporting program analysis activities with no related degree; OR
2+ years’ experience supporting program analysis activities with related Associate’s Degree; OR
No experience with a related BA or BS degree.
Specializes in one or more of the following areas: tax; finance; accounting; budgeting; auditing; quality control; research; legal and regulatory compliance; administration, and other similar management and operational activities.
Superior customer service, interpersonal, and communication skills.
Ability to take the initiative and use independent judgment.
Preferred
Has a Public Trust Clearance
Why Consider This Opportunity
Great benefit package with benefits that start on date of hire.
401 (k) employer match, with 100% immediate vesting.
Work environment where you have a lot of independence.
Ability to work with a purpose and make an impact.
Work with a Manager and peers that are passionate about customers.
Work for an employer where core values are not just written on paper but lived.
MIRACORP Inc., is a veteran, women-owned firm specializing in federal government contract services. One of our competitive advantages is that we provide services to our customers with a standard of excellence that is unmatched. MIRACORP believes our employees are the cornerstone for our success.

MIRACORP is an Equal Employment Opportunity employer. Veterans are encouraged to apply!

Powered by JazzHR",4.8,"MIRACORP
4.8","Lakewood, CO","Gilbert, AZ",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,38,110,74.0,MIRACORP,-1,0,0,0,0,1,0,0,0,na,data analyst
304,304,Data Integrations Analyst I,$38K-$110K (Glassdoor est.),"*Data Integrations Analyst I****Description**We are the world's learning company with more than 24,000 employees operating in 70 countries. We combine world-class educational content and assessment,powered by services and technology, to enable more effective teaching and personalized learning at scale. We believe that wherever learning flourishes so do people.Working from our office in Columbia, MD or remotely, the Data Integration Analyst I will work with school staff, the technology team and partners to accurately report student and staff data to state Departments of Education and Federal Government Agencies, as well as supply critical data to other departments within Pearson Online and Blended Learning K-12 including the Executive team and Legal.. This person will have specific responsibilities for major projects and initiatives as well as regular student and staff reporting tasks - including the data needed to support state reporting and customer invoicing in multiple states. This individual will also prepare ad hoc reports requested by external audiences often requiring a short turnaround. The ideal candidate will have strong technical aptitude, initiative, project management skills, and experience with school reporting as it relates to data manipulation, report writing and programming and importing and exporting between applications. In addition, the ideal candidate will be able to communicate effectively and confidently with school leaders, district superintendents, and state officialsResponsibilities:* Provide data to support the academic and financial operations of the school; Extract, Transform and Load (ETL) student data from school data system to state reporting systems.* Interpret technical file specifications, export and import data to fulfill requirements, and document steps for replication and audit preparation.* Plan and organize target date/deadline timelines and tracking systems for all required reports and ensure timely submission of all reports.* Create and maintain SQL Server Reports to accommodate state reporting and corporate requirements.* Assist with developing procedures and oversee implementation of procedures for reporting to external audiences including state agencies, funding sources, school boards, partner organizations, etc.* Manage data sets with student, staff, and course information. Partner with school personnel and, program and district liaisons to monitor and track data for inconsistencies, research discovered inconsistencies, develop a plan for correction and future prevention.* Maintain departmental process and procedure documentation.* Other duties as assigned.**Qualifications**Requirements:* Bachelor's degree in Math, Statistics, Education, Social Science, Research, or related field* Advanced Excel user* 2-5 years professional experience* Experience working with large data sets from different sources* Experience with SQL Server Reports, SSRS, SPSS, PowerBI, Business Objects Crystal Reports, Cognos or similar and knowledge of VBA or XML a plus* Excellent communication skills, both oral and written including leading and owning the relationship with partner-customers* Comfortable with technology and ability to quickly learning new technologies* Ability to interpret technical file specification documents to produce error-free import files* Experience establishing procedures for data management and quality control* Excellent organizational and planning skills with the ability to balance multiple tasks and competing deadlines* Practical understanding of how relational databases work* Experience in K-12 education and/or State educational reporting a plus* Capabilities:* Customer Centric - Acts with a strong customer mindset (both internal and external) and is a visible advocate for the customer. Builds strong partnerships with customers and uses those to improve their experience and outcomes.* Delivering Financial Results - A strong track record of delivering against budgets and commitments.* Communications - A great communicator who engages teams and stakeholders with thoughtful delivery and messages that resonate.* Works well in a matrix - Models collaboration, solves problems with peers, builds trust and support.* Takes personal responsibility - Can be relied on to complete tasks timely and well, demonstrates ""ownership"" regardless of the outcome, proactive in exploring and exploiting new opportunities.Behaviors:* High level of integrity and transparency;* Customer centric mentality;* High degree of flexibility;* Positive attitude;* Evidence of a strong work ethic, and;* Demonstrated team playerPearson Online & Blended Learning is focused on providing a flexible work environment to its employees, including the ability to work from home on a regular basis in most positions. We believe that flexibility in work/life balance is a critical part of our culture and employee satisfaction, and we are proud to provide to our employees the ability to work from anywhere, anytime. In exchange, we require that employees have the appropriate means to work remotely, including adherence to our work at home policies regarding home office setup, including but not limited to privacy of records, technology standards, equipment standards and expectations.The following equipment will be provided to you by the company as a full-time employee:* Laptop and phone* HeadsetThe following equipment will need to be provided by you, as the employee, when working from home:* 2nd monitor (required)* Mouse (required)* Keyboard (required)Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.**Primary Location:** US-MD-Columbia**Other Locations** US-RE-Remote**Work Locations:** US-MD-Columbia-Grantchester Merriweather 10960 Grantchester Way Two Merriweather Columbia 21044**Job:** Technology**Organization:** North America Connections**Employee Status:** Regular Employee**Job Type:** Standard**Shift:** Day Job**Job Posting:** Jun 11, 2020**Job Unposting:** Ongoing**Schedule:** Full-time Regular**Req ID:** 2006017Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.",3.2,"Pearson
3.2","Columbia, MD","London, United Kingdom",10000+ employees,1844,Company - Public,Education Training Services,Education,$5 to $10 billion (USD),-1,38,110,74.0,Pearson,176,0,0,0,0,1,0,0,0,na,data analyst
305,305,Data Analyst,$38K-$110K (Glassdoor est.),"Greetings from Conch Technologies,

Â

Hope you are doing well,

Â

Please go through the below job description and apply/revert with your updated resume if you are interested. Thanks!

Â

Â

Position: Data Analyst

Location: Agoura Hills, CA

Duration: Long-Term

Â

Overview:

Provide general reporting and analytical support for the department. Responsibilities include developing and tracking of key statistical information and performance metrics, preparing various reporting views, organizing and presenting data to management, and performing query functions for ad-hoc reporting requests and gathering requirements for new reporting.Â

Â

Â

Â

Qualifications:
Moderate skill in business intelligence tools such as Tableau or Qlik
Moderate skills in ETL tools such as Alteryx
Light to moderate skills with Pyhton and R
Moderate skills with MS Office, including Excel & PowerPoint
Moderate skills with SQL database
Information Technology experienced preferred
Must be a team player with strong attention to detail and able to work independently
Proven track record at delivering timely and accurate information in a fast-paced environment
Excellent critical thinking, problem solving, and mathematical skills, and sound judgment
Strong business acumen and ability to interface with executive management
Proven track record at delivering timely and accurate information in a fast-paced environment
Excellent critical thinking, problem solving, and mathematical skills, and sound judgment
Strong business acumen and ability to interface with executive management
Â

Â

Pavan Kumar | Sr IT Recruiter

E: pavan@conchtech.com | T: (571) 398 5867

Conch Technologies, Inc | www.conchtech.com

Â",4.6,"Conch Technologies, Inc
4.6","Agoura Hills, CA","Memphis, TN",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,38,110,74.0,"Conch Technologies, Inc",-1,0,0,0,0,1,0,0,0,na,data analyst
306,306,Data Analyst,$38K-$110K (Glassdoor est.),"Job Description
Job Title: Data Analyst

Reports to: Chief Operating Officer

Job Status: Non-exempt, Hourly, Full-Time

Primary Location: Remote

The Data Analyst is responsible for developing and maintaining data collection systems for the agency. This individual will provide analysis and reports on data designed to improve and monitor program outcomes for day-to-day management as well as grant reporting.

This evolving position is initially envisioned as a full-time role, for the first six plus months, with the flexibility to add other duties or to reduce to part-time if desired once workflow and systems are established. The ideal candidate should be committed to transforming data into readable, goal-driven reports for continued innovation and growth.

Responsibilities
Work closely with program managers to develop systems that collect and report required program output data and indicators
Map data collection process, for multiple systems, in collaboration with program managers
Design, build, and maintain systems for program data collection and reporting
Train program managers on data input, reports, dashboards, and reporting processes
Compile program output data for annual report, grant reports and ad hoc reporting requests as needed
Develop and update program dashboards
Develop annual data collection timeline
Perform related work as assigned
Experience and Qualifications

Successful candidates will possess all or many of the following qualifications and/or skills:
Graduation from an accredited college or university in Mathematics, Computer Science, Information Science, Statistics, Business or an equivalent combination of education and/or experience
Excellent written and oral communication skills
Strong organizational skills and attention to detail
Ability to analyze quantitative data and communicate the information accurately to relevant decision makers
Proficient with Microsoft Office suite including Excel, Word, and Access
Previous experience in data management role
Proven analytic skills, including mining, evaluation, analysis and visualization
Equal Employment Opportunity Statement

Accounting Aid Society is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, protected veteran or military status, and other categories protected by federal, state or local law.
Company Description
Accounting Aid Society is a volunteer income tax assistance (VITA) program that’s been successfully offering tax and financial services to taxpayers and small businesses in Detroit and southeast Michigan for the past 45 years. In that time, our services have returned over $400 million in tax refunds to individuals and small businesses in Wayne, Oakland, Macomb and Livingston counties. As a result, we’ve been named a “Best-Managed Nonprofit” by Crain’s Detroit Business, a Neighborhood Builder by Bank of America, and we received a Governor’s Service Award for Outstanding Volunteer Program.

Our mission is to help our clients gain control of their finances. We start by helping them file their taxes. For many of us, tax season is an unavoidable chore. But for our clients, who are underserved and often struggling to make ends meet, even one small mistake on their tax forms could deprive them of critical tax refunds. We believe that everyone should have access to competent and trustworthy tax and financial advice. This is why we work with our community to guide our clients through the tax system and turn a stressful process into an opportunity for them to take control of their money and their future.",3.7,"Accounting Aid Society
3.7","Detroit, MI","Detroit, MI",1 to 50 employees,-1,Nonprofit Organization,-1,-1,$1 to $5 million (USD),-1,38,110,74.0,Accounting Aid Society,-1,0,0,0,0,1,0,0,0,na,data analyst
307,307,Data Analyst,$38K-$110K (Glassdoor est.),"Responsibilities:

· Collect and study data to reveal ways to improve a business, organization or government entity; or databases and the data entered into those databases. The data can involve almost any topic including claims, members, providers, customers, marketing, sales.

· Involved problem-solving, mathematics and computer skills and studying data on various systems. Managing master data, including creation, updates, and deletion.

· Managing and designing the reporting environment, including data sources, security, and metadata.

Requirements:

· Bachelor's degree in computer science, mathematics or related field preferred (or equivalent experience)

· 3-5 years’ experience with databases and optimizing output

· Candidate must have excellent problem solving capabilities as well as a strong understanding of mathematical techniques for working with technical system data

· Must be able to manage master data files, including creating updates and deletions as necessary.

· Must be able to manage and design reporting environments, including data sources, security, and metadata.

Job Type: Full-time

Schedule:
Monday to Friday",4.6,"Bains Consultiing LLC
4.6","Washington, DC","Boston, MA",10000+ employees,1973,Company - Private,Consulting,Business Services,$2 to $5 billion (USD),"McKinsey & Company, Boston Consulting Group, Booz & Company",38,110,74.0,Bains Consultiing LLC,47,0,0,0,0,1,0,0,0,na,data analyst
308,308,ServiceNow Data Analyst/Reconciler,$38K-$110K (Glassdoor est.),"Description

SAIC has an opening for an IT Data Analyst/ Reconciler located in Springfield, VA.

This position is in support of the Department of State (DoS) as a part of the Vanguard 2.2.1 contract.

Job Duties:
Database Administration including data entry, queries and report design and production with Service Now
Data Analysis for activities such as data integrity audits, reconciliation of data across network management tools and for reports supporting business decisions
Completing deliverables against deadlines
Projects that involve working across stakeholder groups
Technical writing and process documentation
The Vanguard 2.2.1 program provides transparent, interconnected systems and security support for the Department of State (DOS) Bureau of Information Resource Management (IRM) program. The IRM program enables the Department of State to successfully carry out its foreign policy mission by providing enterprise architecture design, engineering, operations and maintenance support services for data center services, desktop computers, servers, networks, firewalls, voice and data communications and other unique enterprise applications.

Qualifications

Required Experience:

Bachelor’s degree with 5 years of experience. Additional experience will be considered in lieu of a degree
Required Skills:
IT Service Management Application, ServiceNow is preferred
Familiarity with network infrastructure
Exposure to enterprise software management practices
Microsoft Office Suite: Excel, Visio, Access (or another database program)
Desired:
Entry level or advanced certification on an ITSM tool
ITIL Foundations certification
Must be a US citizen with a Secret security clearance",3.7,"SAIC
3.7","Springfield, VA","Reston, VA",10000+ employees,2013,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),"Booz Allen Hamilton, CACI International",38,110,74.0,SAIC,7,0,0,0,0,1,0,0,0,na,data analyst
309,309,Business Intelligence Analyst - Data Science,$38K-$110K (Glassdoor est.),"Herc Rentals Inc. (NYSE HRI) is an equipment rental firm committed to providing its customers with unparalleled service and expert solutions needed to take on the most demanding jobs. With more than 50 years of equipment rental expertise, our growing team consists of more than 5,000 employees and 270 company-owned branches. Herc Rentals continues to evolve and grow through technological innovations, expanded product offerings, value-added services and consultative services that support its customersrsquo construction, industrial, remediation and maintenance projects. We aspire to be the supplier, employer and investment of choice in our industry, with core values that promote a culture built on honesty, excellence, respect, and commitment. At Herc, we rely on insightful data to drive process improvements and increase company performance. Wersquore currently seeking a Data Scientist to join the team to help deliver this insight. As a data scientist, this person would utilize their analytical, statistical, and programming skills to collect, analyze, and interpret large disparate data sets. Hercrsquos goal is to utilize this insight to drive data-driven solutions to complicated business challenges. The optimal candidate must have a passion for uncovering solutions hidden in data and working closely with a vast array of IT business stakeholders and customers to improve business performance.Responsibilities Continually learn and understand all relevant data sources (i.e. ERP, Point of Sale, etc.) Execute analytical methodical experiments for problem-solving Collect and organize structured unstructured datasetsvariables in all sizes Utilize algorithms models for data mining, error analysis, validation, data cleansing, etc. Conduct trend and pattern analysis Work closely with stakeholders and translate technical analysis into business language Project manage and lead analysis engagements with business stakeholders Qualifications Experience Applicants must be authorized to work in the United States permanently. 3+ years experience in a similar data analyst role Proven development experience with statistical computer languages (Python, R) required 3+ years working with BI development tools required (Qlik preferred) Extensive SQL experience is required Required Skills Identify and document anomalies in data Work with and mine large amounts of data Perform descriptive statistical analysis, predictive modeling Visualize data to communicate findings for a non-technical audience Work with databases, query languages, and data modeling Advanced Excel skills, including VBA Must be able to meet critical deadlines for high visibility projects and work constructively while under pressure Comfortable working in a dynamic setting with multiple concurrent projects Able to work in a structured IT environment and follow compliance and change control processes Excellent problem solving and analytical skills Excellent verbal and written communication skills Excellent interpersonal skills including the ability to interact with all levels of the organization and external customers Excellent organizational skills and the ability to work independently Education BABS in Computer Science, MIS, math, physics or related field or work-related experience Masters in statistics, mathematics or other quantitative discipline is preferred Professional certifications At Herc Rentals, our success depends on the success of our people. Our ability to provide exceptional service to our customers and maintain a leadership position in our industry is a result of the people we hire and develop. We are growing in dynamic new ways and we recognize that the right people, offering their ideas and expertise, will enable us to continue our success. Herc Rentals provides an excellent compensation and benefits package, which includes a competitive salary, retirement savings plan, tuition reimbursement, comprehensive medical, dental, vision care, life insurance coverage, paid vacation and holidays. Herc Rentals does not discriminate in employment on the basis of race, creed, color, religion, sex, age, disability, national origin, marital status, sexual orientation, citizenship status, political affiliation, parental status, military service, or other non-merit factor.",3.0,"Herc Rentals
3.0","Bonita Springs, FL","Bonita Springs, FL",1001 to 5000 employees,1965,Company - Public,Consumer Product Rental,Consumer Services,$1 to $2 billion (USD),"United Rentals, Sunbelt Rentals, H&E Equipment Services",38,110,74.0,Herc Rentals,55,1,0,0,0,1,0,0,0,na,data analyst
